회사명,코드,년도,[제조]순운전자본비율(IFRS연결),법인세비용차감전순이익,이자비용1,이자비용2,이자비용3,이자비용4,당기순이익,법인세비용,금융수익,금융원가,지분법
(주)가비아,79940,Dec-10,27.61,6783187,446894,,0,0,5572559,1210628,670314,579609,0
(주)가비아,79940,Dec-11,22.99,8869912,367186,,0,0,7014899,1855013,1089676,400646,0
(주)가비아,79940,Dec-12,20.11,11450531,493791,,0,0,9419144,2031388,4393774,548447,0
(주)가비아,79940,Dec-13,24.57,11314450,444815,0,0,0,9505713,1808737,3316110,858548,0
(주)가비아,79940,Dec-14,26.07,8012086,340937,0,0,0,6752737,1259349,998245,471746,0
(주)가비아,79940,Dec-15,37.14,10236592,175055,0,0,0,8530281,1706311,1001926,334988,0
(주)가비아,79940,Dec-16,31.68,11234043,150039,0,0,0,10177685,1056358,708310,227957,-11090
(주)가비아,79940,Dec-17,27.52,11168630,236636,0,0,0,9669613,1499018,908834,286460,59525
(주)가비아,79940,Dec-18,31.87,18069764,291945,0,0,0,15340647,2729117,1345726,721964,0
(주)가비아,79940,Dec-19,21.9,24758255,693082,0,0,0,21102390,3655865,1601888,1069902,0
(주)가비아,79940,Dec-20,28.1,27523148,486898,0,0,0,23751739,3771409,3038092,2580005,0
(주)게임빌,63080,Dec-10,84.52,17400739,66631,,0,0,14793729,2607009,1873060,106448,0
(주)게임빌,63080,Dec-11,75.2,19821593,50838,,0,0,16101442,3720151,2271053,122775,184439
(주)게임빌,63080,Dec-12,59.33,27047143,35705,,0,0,22412895,4634248,1872368,362448,645454
(주)게임빌,63080,Dec-13,29.09,15254188,17775,0,0,0,13988996,1265192,1984207,17775,0
(주)게임빌,63080,Dec-14,17.83,29582972,33364,0,0,0,22931329,6651643,866624,33364,0
(주)게임빌,63080,Dec-15,12.67,28968513,579168,0,0,0,20036362,8932151,442233,579168,0
(주)게임빌,63080,Dec-16,4.88,32859582,1300391,0,0,0,26454479,6405103,391914,1300391,0
