name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock,income,roe
(주)DB하이텍,990,Dec-10,311090151,138335841,1381251114,-413460312,983234957,620043034,2436,212303970,398016157,-191152903,10800,-279258370,-37.78
(주)DB하이텍,990,Dec-11,279725559,794704783,1199043869,-512733373,890982181,552216245,2567,214616420,308061688,-97946584,7250,-35388322,-27.74
(주)DB하이텍,990,Dec-12,309144147,555433290,1157755031,-545396482,866861695,590786488,2304,222555835,290893335,-31341318,6330,-15621631,-10.47
(주)DB하이텍,990,Dec-13,222960700,476867874,1058391832,-63420584,853635085,493752028,2142,222555835,204756748,-83046768,7530,-9610612,-33.51
(주)DB하이텍,990,Dec-14,247582371,376436760,984876636,-145152470,864173902,567718224,1999,222555835,120702734,-77008844,4615,45560248,-47.32
(주)DB하이텍,990,Dec-15,337757266,244044785,984643712,-25388778,730586221,666594987,2004,222555835,254057491,126733352,14300,124968815,67.63
(주)DB하이텍,990,Dec-16,368924211,274231115,986788572,65708914,644871257,773140180,2047,222555835,341917315,88344018,15900,172427930,29.65
(주)DB하이텍,990,Dec-17,353662841,145225195,993950720,178280670,538152775,679737744,1940,222555835,455797946,110175089,12000,143195168,27.62
(주)DB하이텍,990,Dec-18,383378937,156796450,1066533840,286926664,508142309,669279136,1955,222555835,558391531,86828768,10850,112993143,17.12
(주)DB하이텍,990,Dec-19,426263421,219715556,1088889810,375643538,444239080,807416423,1979,222555835,644650730,104637012,27600,181292188,17.4
(주)DB하이텍,990,Dec-20,459208127,261704001,1178581197,525382013,383996685,935919766,2012,222555835,794584513,166025591,51000,239335181,23.07
(주)기산텔레콤,35460,Dec-10,65007409,43640556,96782609,-7214928,51231020,103705410,125,7168670,45551589,2751330,3760,3660575,6.27
(주)기산텔레콤,35460,Dec-11,55476277,42276066,86259438,-18654900,52370807,65679195,92,7168670,33888631,-12092371,1920,-10359858,-31.86
(주)기산텔레콤,35460,Dec-12,55620433,36476208,73234520,-20401002,41717873,74315907,84,7168670,31516647,-1882261,1930,1714513,-2.03
(주)기산텔레콤,35460,Dec-13,63696575,35626324,78811114,-16130590,42293634,79463728,85,7168670,36517480,3928729,1900,5120351,10.89
(주)기산텔레콤,35460,Dec-14,64834230,33854674,78052777,-14054375,39545997,74512326,98,7168670,38506780,2744606,1780,1747320,7.2
(주)기산텔레콤,35460,Dec-15,64461290,25981076,76012528,-12495366,33753043,79710503,86,7195170,42259485,1701580,3645,1595421,3.95
(주)기산텔레콤,35460,Dec-16,62942880,30567279,74209973,-15200660,34339130,59172319,95,7288670,39870843,-2639743,3520,-2914471,-6.62
(주)기산텔레콤,35460,Dec-17,58352347,25198661,70137339,-19998188,35145065,63467585,89,7288670,34992274,-5538516,2895,-3230591,-13.79
(주)기산텔레콤,35460,Dec-18,46536756,20046567,56180491,-19130664,24539492,56445716,85,7288670,31640999,-3327575,2755,-2927420,-10.68
(주)기산텔레콤,35460,Dec-19,49053647,22745330,66789756,-16929631,32098792,67054955,79,7288670,34690964,3498486,2090,3995820,10.87
(주)기산텔레콤,35460,Dec-20,55936111,25480217,70832523,-16711809,35748155,68812450,70,7288670,35084369,337553,2615,423128,0.15
(주)나무가,190510,Dec-10,,,,,,,,,,,,-1263030,
(주)나무가,190510,Dec-11,,,,,,,,,,,,-1792631,
(주)나무가,190510,Dec-12,50398294,60651029,64133581,-45148,62330401,85497557,,688000,1803181,1139134,,3649973,63.17
(주)나무가,190510,Dec-13,70980559,69716749,91254175,2137925,74503913,219315611,,1313431,16750263,2143315,,5350893,23.1
(주)나무가,190510,Dec-14,95602918,97138784,135551568,3811661,116182840,218330936,,1320931,19368729,1821999,,1779277,10.09
(주)나무가,190510,Dec-15,153817851,125706395,203857810,18274443,143583681,403847036,145,1865960,60274130,8484512,58000,25666181,21.31
(주)나무가,190510,Dec-16,134434932,102039282,195912474,14604136,124201656,292613003,138,1889796,71710818,-4188413,58400,-669505,-6.29
(주)나무가,190510,Dec-17,83286111,93806287,142414320,-25924783,111824687,257564977,128,1908139,30589633,-40918809,19000,-31479937,-79.31
(주)나무가,190510,Dec-18,66783642,73489063,118767661,-21326505,83345221,312824892,107,1912750,35422440,3585210,19050,1857185,12.19
(주)나무가,190510,Dec-19,113544554,141184036,194518538,-21885244,150249899,362063863,146,1914832,44268639,-585939,47800,2666026,-0.94
(주)나무가,190510,Dec-20,92446316,137911007,183374402,-29306244,145002182,511756135,135,3633285,38372220,-7890516,21500,-2262218,-19.1
