name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock
(주)가비아,79940,10-Dec,27.61,6783187,446894,,0,0,5572559,1210628,670314,579609,0
(주)가비아,79940,11-Dec,22.99,8869912,367186,,0,0,7014899,1855013,1089676,400646,0
(주)가비아,79940,12-Dec,20.11,11450531,493791,,0,0,9419144,2031388,4393774,548447,0
(주)가비아,79940,13-Dec,24.57,11314450,444815,0,0,0,9505713,1808737,3316110,858548,0
(주)가비아,79940,14-Dec,26.07,8012086,340937,0,0,0,6752737,1259349,998245,471746,0
(주)가비아,79940,15-Dec,37.14,10236592,175055,0,0,0,8530281,1706311,1001926,334988,0
(주)가비아,79940,16-Dec,31.68,11234043,150039,0,0,0,10177685,1056358,708310,227957,-11090
(주)가비아,79940,17-Dec,27.52,11168630,236636,0,0,0,9669613,1499018,908834,286460,59525
(주)가비아,79940,18-Dec,31.87,18069764,291945,0,0,0,15340647,2729117,1345726,721964,0
(주)가비아,79940,19-Dec,21.9,24758255,693082,0,0,0,21102390,3655865,1601888,1069902,0
(주)가비아,79940,20-Dec,28.1,27523148,486898,0,0,0,23751739,3771409,3038092,2580005,0
(주)게임빌,63080,10-Dec,84.52,17400739,66631,,0,0,14793729,2607009,1873060,106448,0
(주)게임빌,63080,11-Dec,75.2,19821593,50838,,0,0,16101442,3720151,2271053,122775,184439
(주)게임빌,63080,12-Dec,59.33,27047143,35705,,0,0,22412895,4634248,1872368,362448,645454
(주)게임빌,63080,13-Dec,29.09,15254188,17775,0,0,0,13988996,1265192,1984207,17775,0
(주)게임빌,63080,14-Dec,17.83,29582972,33364,0,0,0,22931329,6651643,866624,33364,0
(주)게임빌,63080,15-Dec,12.67,28968513,579168,0,0,0,20036362,8932151,442233,579168,0
(주)게임빌,63080,16-Dec,4.88,32859582,1300391,0,0,0,26454479,6405103,391914,1300391,0
(주)게임빌,63080,17-Dec,-5.91,7245089,1624764,0,0,0,8584611,-1339522,305835,1624764,0
(주)게임빌,63080,18-Dec,-8.22,9990567,1938696,0,0,0,-5428315,15418881,194155,1938696,0
(주)게임빌,63080,19-Dec,-9.99,12318550,2834144,0,0,0,11814935,503614,124307,3629442,0
(주)게임빌,63080,20-Dec,-18.42,19306088,4208241,0,0,0,20139064,-832976,92868,4219015,0
(주)골드앤에스,35290,10-Dec,0.57,-9066905,1136681,,0,0,-8960678,-106227,546069,1327736,-78989
(주)골드앤에스,35290,11-Dec,3.73,836340,1144194,,0,0,1002287,-165947,654448,1144194,30746
(주)골드앤에스,35290,12-Dec,11.48,-6815170,1222442,,0,0,-6467495,-347676,486533,1222442,-25576
(주)골드앤에스,35290,13-Dec,-27.23,-15321298,1696741,0,0,0,-16837473,1516175,104522,1696741,-215412
(주)골드앤에스,35290,14-Dec,-21.44,-8873644,2188673,0,0,0,-9319175,-182461,24007,2188673,0
(주)골드앤에스,35290,15-Dec,30.79,-4437490,574821,0,0,0,-9502547,-45840,41328,574821,0
(주)골드앤에스,35290,16-Dec,26.73,624873,166195,0,0,0,390367,234505,25401,166195,0
(주)골드앤에스,35290,17-Dec,44.44,-8156806,141278,0,0,0,-7975875,39069,70561,141278,0
(주)골드앤에스,35290,18-Dec,-16.42,-5049311,1022918,0,0,0,-4380399,-668912,100567,1201259,0
(주)골드앤에스,35290,19-Dec,-106.52,-24639136,4887799,0,0,0,-24883278,-15829,783965,5000229,0
(주)골드앤에스,35290,20-Dec,33.2,1396873,2401604,0,0,0,1635730,-238857,24417,2401604,0
(주)골프존,215000,15-Dec,,45670572,711609,0,0,0,36533155,9137417,1090969,721609,0
(주)골프존,215000,16-Dec,17.74,44008772,759926,0,0,0,36536248,7472524,1288071,759926,0
