name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,income,stock_num,stock,roe,ebt,interest,facevalue
(주)가비아,79940,Dec-10,23312665,8704012,52912228,18505855,15686573,40623302,155,6367842,37225655,5572559,6616833,12735684,3050,19.64,6783187,0,500
(주)가비아,79940,Dec-11,28837190,13905604,64954440,22695449,16288697,52838864,191,6367842,48665742,7014899,8194872,12735684,3950,18.06,8869912,0,500
(주)가비아,79940,Dec-12,31997486,14858349,85244515,28990858,26299269,69058144,211,6667842,58945247,9419144,7619962,13335684,4035,21.3,11450531,-492484,500
(주)가비아,79940,Dec-13,37411881,14999568,91231294,34684170,22631067,70675565,228,6667842,68600227,9505713,7033504,13335684,4790,15.65,11314450,-445102,500
(주)가비아,79940,Dec-14,41920706,16229926,98544072,37673310,23034370,80432047,247,6767842,75509702,6752737,8382688,13535684,6420,8.18,8012086,-350764,500
(주)가비아,79940,Dec-15,52239105,13210992,105081568,43121291,20985420,91648622,262,6767842,84096148,8530281,11349094,13535684,7130,11.99,10236592,-205639,500
(주)가비아,79940,Dec-16,60241586,20386590,125796754,48302552,29844914,102178978,268,6767842,95951841,10177685,12549259,13535684,5840,10.68,11234043,-149851,500
(주)가비아,79940,Dec-17,66113388,29400833,133382584,52864813,33486064,116217941,275,6767842,99896520,9669613,12712157,13535684,5870,8.88,11168630,-230396,500
(주)가비아,79940,Dec-18,78058272,29792809,151440505,60204841,37253015,128728438,280,6767842,114187490,15340647,18188449,13535684,6360,12.58,18069764,-284494,500
(주)가비아,79940,Dec-19,86880807,43098923,199916131,70637536,64956993,148306878,277,6767842,134959139,21102390,23736596,13535684,8280,15.73,24758255,-288981,500
(주)가비아,79940,Dec-20,123738031,50679127,260025259,82170075,86821629,169044955,298,6767842,173203629,23751739,28545232,13535684,13150,14.99,27523148,-405978,500
(주)게임빌,63080,Dec-10,53918027,3978460,59088029,35953856,5683446,30615365,121,2759628,53404583,14793729,,5519255,27350,27.7,17400739,0,500
(주)게임빌,63080,Dec-11,66564919,7989071,77893415,52055298,9608876,42753975,143,2770680,68284539,16101442,17507040,5541359,68100,26.46,19821593,-51191,500
(주)게임빌,63080,Dec-12,65421708,6455549,99383970,74468194,8627229,70253046,178,2775480,90756741,22412895,24127250,5550959,100800,28.19,27047143,-36392,500
(주)게임빌,63080,Dec-13,63705280,11558728,179245827,88469480,12721831,81235357,219,3261188,166523996,13988996,12114022,6522376,45700,10.89,15254188,-17413,500
(주)게임빌,63080,Dec-14,68622461,28242552,226440965,111700853,32776800,144994601,239,3261188,193664165,22931329,11373349,6522376,120700,12.89,29582972,-9819,500
(주)게임빌,63080,Dec-15,107616981,65574476,331942511,131762934,119535318,152295704,286,3261188,212407193,20036362,3239041,6522376,77500,9.88,28968513,-535058,500
(주)게임빌,63080,Dec-16,59505197,43503800,327582214,159138771,91203538,161482810,352,3261188,236378676,26454479,4278661,6522376,48700,11.89,32859582,-1366242,500
(주)게임빌,63080,Dec-17,36433390,56423583,338029216,167660614,93552469,106371848,419,3297596,244476747,8584611,-20133845,6595192,92300,3.56,7245089,-1550603,500
(주)게임빌,63080,Dec-18,37777149,66880114,354106374,163737161,110210307,112508237,427,3297596,243896067,-5428315,-17567012,6595192,54400,-2.45,9990567,-1804424,500
(주)게임빌,63080,Dec-19,35522622,75408194,399323374,177304969,144488124,119860859,399,3297596,254835249,11814935,-17053325,6595192,30250,5.54,12318550,-2471657,500
(주)게임빌,63080,Dec-20,32621881,112392612,432965661,197529216,154139095,133819704,265,3297596,278826566,20139064,23690188,6595192,36850,7.68,19306088,-3728655,500
(주)골드앤에스,35290,Dec-10,17640913,17384685,45047091,-5850061,23416085,50487261,177,25829040,21631006,-8960678,,51658079,445,-41.44,-9066905,-947421,500
(주)골드앤에스,35290,Dec-11,23477041,21734828,46677146,-5019236,24240316,47522791,161,25829040,22436829,1002287,1571844,51658079,436,4.57,836340,-995831,500
(주)골드앤에스,35290,Dec-12,26661256,20697748,51950606,-11494028,26432789,43889087,157,35819682,25517817,-6467495,-2330876,71639364,476,-26.93,-6815170,-958709,500
(주)골드앤에스,35290,Dec-13,15792977,29802347,51442505,-27013060,38315150,39548810,114,35819682,13127355,-16837473,-6493110,71639364,175,-86.53,-15321298,-2424345,500
(주)골드앤에스,35290,Dec-14,15072221,25047175,46528474,-35362663,34445853,31287203,74,6077692,12082621,-9319175,-3079598,12155384,3360,-90.29,-8873644,-1676801,500
(주)골드앤에스,35290,Dec-15,15364121,7942854,24102094,-15172377,8941840,22197935,52,9852021,15160254,-9502547,1143768,19704041,5980,-76.1,-4437490,-329103,500
(주)골드앤에스,35290,Dec-16,8660668,3670098,18671644,-14872080,4403117,15893494,60,10017310,14268527,390367,402070,20034620,3795,2.65,624873,-125993,500
(주)골드앤에스,35290,Dec-17,10831000,3198537,17173934,-24239177,3827858,12802035,47,11086938,13346076,-7975875,-3694041,22173875,4690,-57.72,-8156806,-69211,500
(주)골드앤에스,35290,Dec-18,21031370,28003279,42472631,-28501374,28693062,8680452,61,11380624,13779569,-4380399,-4667030,22761247,3170,-32.3,-5049311,-328396,500
(주)골드앤에스,35290,Dec-19,3910189,21055498,16096170,-54531706,21187743,7642733,49,1285069,-5091573,-24883278,-7142117,2570137,11750,-572.47,-24639136,-1865576,500
(주)골드앤에스,35290,Dec-20,9045300,2194126,20634172,-52886699,6236005,4138760,16,18111955,14398168,1635730,-2343112,36223910,11750,35.13,1396873,-141187,500
(주)골드카운티,58900,2020,,,,,,,,,,,,,,,,,
(주)골프존,215000,Dec-16,89781733,56451253,187914226,47981803,67265600,216964342,280,3137708,120648626,36536248,45442469,6275415,65300,30.3,44008772,-740174,500
(주)골프존,215000,Dec-17,160591890,51918381,253672419,117259725,64290538,200105321,244,3137708,189381881,79392004,37457577,6275415,44850,51.19,50745356,-706280,500
(주)골프존,215000,Dec-18,145265354,54339957,254057808,122566727,59138246,198705194,470,3137708,194919561,20419449,28160266,6275415,33450,10.63,26353781,-743684,500
(주)골프존,215000,Dec-19,81730468,61066134,312587283,127176545,112544404,247018099,398,3137708,200042879,16213888,32297494,6275415,68900,8.21,29850286,-1002071,500
(주)골프존,215000,Dec-20,118056616,80881889,367293667,152522872,141722975,298524085,425,3137708,225570692,37497361,51572914,6275415,69300,18.02,48705922,-1432951,500
(주)골프존,215000,Dec-15,81295773,50803120,178132253,36533155,69278343,201560389,266,3137708,108853909,36533155,49582444,6275415,87900,,45670572,-696908,500
(주)네오리진,94860,Dec-11,24840974,17791230,50506702,-3021499,20067290,42947694,70,7276818,30439412,649924,676905,14553635,2940,3.18,601278,-338057,500
(주)네오리진,94860,Dec-10,22154083,9126377,33848268,-3668399,11152095,26146044,65,7276818,22696173,-4659690,,14553635,4170,-18.8,-4539142,-146372,500
(주)네오리진,94860,Dec-13,,,,,,,130,,,,,,883,,,,
(주)네오리진,94860,Dec-14,,,,,,,127,,,,,,482,,,,
(주)네오리진,94860,Dec-15,,,,,,,60,,,,,,1115,,,,
(주)네오리진,94860,Dec-16,,,,,,,55,,,,,,819,,,,
(주)네오리진,94860,Dec-17,7853986,2204133,17683620,-2204500,3137509,9263380,49,4765306,14546111,166207,168664,47653062,631,1.14,190144,-33922,100
(주)네오리진,94860,Dec-18,,,,,,,43,,,,,,450,,,,
(주)네오리진,94860,Dec-19,,,,,,,43,,,,,,1330,,,,
(주)네오리진,94860,Dec-20,,,,,,,49,,,,,,2610,,,,
(주)네오리진,94860,Dec-12,,,,,,,140,,,,,,2950,,,,
(주)네오위즈,95660,Dec-11,237670237,197452610,626224593,159828754,353291503,667748340,1204,10957504,272933090,72509057,133963505,21915008,43200,30.13,100761621,-6034305,500
(주)네오위즈,95660,Dec-12,321621881,204139701,625813964,170965222,337321468,674589550,900,10957504,288492496,5785127,110533910,21915008,25000,2.94,47902448,-7132838,500
(주)네오위즈,95660,Dec-13,163930245,107456642,506848572,218866597,211021364,442897817,610,10957504,295827208,46864398,95810930,21915008,17700,16.83,75624100,-7464788,500
(주)네오위즈,95660,Dec-14,199929102,53291606,423334499,210658575,138497147,201029653,506,10957504,284837352,-8177160,29526267,21915008,22750,-2.63,5839422,-4665918,500
(주)네오위즈,95660,Dec-15,267392426,103161414,374371339,190326368,110083479,190070606,416,10957504,264287860,-21852100,15802494,21915008,16150,-7.51,-14255941,-2468084,500
(주)네오위즈,95660,Dec-16,196626649,41191743,317438639,200576257,46384073,191038418,403,10957504,271054566,9853329,23471441,21915008,11350,3.85,18759351,-690744,500
(주)네오위즈,95660,Dec-17,188793930,32738254,304359379,198456940,39611170,174045348,296,10957504,264748209,-2143713,10872808,21915008,12250,-0.57,646834,-111795,500
(주)네오위즈,95660,Dec-18,154960983,50887701,366712258,229434382,67872548,215490230,353,10957504,298839710,33524295,22555606,21915008,12250,11.36,36631787,-253638,500
(주)네오위즈,95660,Dec-19,191361850,44926808,398001624,251742751,69123581,254498033,488,10957504,328878043,27623322,32567478,21915008,16950,7.78,32412636,-70646,500
(주)네오위즈,95660,Dec-20,248363258,57878722,479352032,310762224,83736217,289606376,912,11016860,395615816,62167755,60335803,22033719,22450,16.95,68680628,-43984,500
(주)네오위즈,95660,Dec-10,144371642,193266469,433550345,89893463,196672357,430549822,930,10948119,236877988,25208848,111671165,21896237,45950,11.34,27491964,-178690,500
(주)네오위즈홀딩스,42420,Dec-11,326950239,219106067,699856916,71519261,324866338,727227250,10,4653433,374990578,76477186,137235007,9156866,22250,11.85,112060294,-7692363,500
(주)네오위즈홀딩스,42420,Dec-12,371923345,225008678,689645348,83968081,304490041,742971136,25,4653433,385155307,13920271,108650699,9156866,14550,6.79,54326605,-7835369,500
(주)네오위즈홀딩스,42420,Dec-13,240607457,125081215,588519102,106576470,172278621,512084970,3,4653433,416240481,59898207,101248218,9156866,11450,12.59,85429207,-7759765,500
(주)네오위즈홀딩스,42420,Dec-14,283696699,72625464,573964611,165858401,106476922,262205577,2,4653433,467487690,57500868,39319220,9156866,14300,27.59,91617749,-5013257,500
(주)네오위즈홀딩스,42420,Dec-10,244430137,217415397,631258323,50690552,224482347,505659785,4,4649428,406775976,40782244,110557681,9148855,13600,8.83,38336486,-2519941,500
(주)네오위즈홀딩스,42420,Dec-16,337649235,43721311,533357640,207821865,54350324,201698095,4,4653433,479007316,-8386452,22359830,8856866,16500,-4.99,-4950180,-715014,500
(주)네오위즈홀딩스,42420,Dec-17,335663547,34890967,524777876,202404906,48395657,184864190,3,4653433,476382219,-6798711,10628248,8856866,13300,-1.77,-4565860,-158589,500
(주)네오위즈홀딩스,42420,Dec-18,297220633,55069194,590591987,230262274,74313743,228327081,4,4653433,516278245,43566139,21139486,8856866,11350,6.58,45177504,-301698,500
(주)네오위즈홀딩스,42420,Dec-19,311695984,45404199,622123554,250424820,72872632,253948130,5,4653433,549250922,40857864,29418403,8856866,14100,6.57,45080853,-86235,500
(주)네오위즈홀딩스,42420,Dec-20,366475644,58429428,734765968,299893878,96199629,289246163,5,4653433,638566339,94962424,57750301,8856866,16400,15.01,109027026,-123365,500
(주)네오위즈홀딩스,42420,Dec-15,394172532,60550634,570887893,230991237,78033866,199471968,4,4653433,492854028,49969692,14452647,9156866,14950,23.61,74971673,-2622357,500
(주)네이블커뮤니케이션즈,153460,Dec-11,,,,,,,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-10,,,,,,,,,,,,,,,,,
(주)네이블커뮤니케이션즈,153460,Dec-13,,,,,,,186,,,,,,6960,,,,
(주)네이블커뮤니케이션즈,153460,Dec-14,19831312,5608618,30322642,13114617,5608723,23696900,168,2431078,24713919,487174,132220,4862156,6410,2.08,359656,-366,500
